DISEASE,MMWR_YEAR,MMWR_WEEK,TOTAL_CASES
Anthrax,2014,1,NA
"Arboviral diseases, California serogroup virus disease,",2014,1,81
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,1,6
"Arboviral diseases, Powassan virus disease,",2014,1,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,1,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,1,NA
"Botulism, total",2014,1,131
"Botulism, foodborne",2014,1,5
"Botulism, infant",2014,1,115
"Botulism, other (wound and unspecified)",2014,1,11
Brucellosis,2014,1,93
Chancroid,2014,1,12
Cholera,2014,1,2
Cyclosporiasis,2014,1,663
Diphtheria,2014,1,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,1,19
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,1,172
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,1,213
Hansen disease,2014,1,52
Hantavirus pulmonary syndrome,2014,1,12
"Hemolytic uremic syndrome, postdiarrheal",2014,1,229
"Hepatitis B, virus infection perinatal",2014,1,46
"Influenza-associated pediatric mortality,",2014,1,164
Leptospirosis,2014,1,NA
Listeriosis,2014,1,647
Measles,2014,1,184
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,1,115
"Meningococcal disease, invasive, serogroup B",2014,1,68
"Meningococcal disease, invasive, other serogroup",2014,1,12
"Meningococcal disease, invasive, unknown serogroup",2014,1,310
Novel influenza A virus infections***,2014,1,21
Plague,2014,1,4
"Poliomyelitis, paralytic",2014,1,NA
"Polio virus Infection, nonparalytic",2014,1,NA
Psittacosis,2014,1,5
"Q fever, total",2014,1,144
"Q fever, acute",2014,1,112
"Q fever, chronic",2014,1,32
"Rabies, human",2014,1,NA
Rubella,2014,1,9
"Rubella, congenital syndrome",2014,1,NA
SARS-CoV,2014,1,NA
Smallpox,2014,1,NA
Streptococcal toxic-shock syndrome,2014,1,134
"Syphilis, congenital (age <1 yr)",2014,1,181
Tetanus,2014,1,19
Toxic-shock syndrome (staphylococcal),2014,1,63
Trichinellosis,2014,1,19
Tularemia,2014,1,190
Typhoid fever,2014,1,300
Vancomycin-intermediate Staphylococcus aureus,2014,1,176
Vancomycin-resistant Staphylococcus aureus,2014,1,NA
Vibriosis (noncholera Vibrio species infections),2014,1,1120
Viral hemorrhagic fever,2014,1,NA
Yellow fever,2014,1,NA
Anthrax,2014,2,NA
"Arboviral diseases, California serogroup virus disease,",2014,2,81
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,2,6
"Arboviral diseases, Powassan virus disease,",2014,2,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,2,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,2,NA
"Botulism, total",2014,2,135
"Botulism, foodborne",2014,2,5
"Botulism, infant",2014,2,119
"Botulism, other (wound and unspecified)",2014,2,11
Brucellosis,2014,2,95
Chancroid,2014,2,11
Cholera,2014,2,2
Cyclosporiasis,2014,2,663
Diphtheria,2014,2,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,2,20
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,2,179
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,2,212
Hansen disease,2014,2,52
Hantavirus pulmonary syndrome,2014,2,13
"Hemolytic uremic syndrome, postdiarrheal",2014,2,227
"Hepatitis B, virus infection perinatal",2014,2,48
"Influenza-associated pediatric mortality,",2014,2,164
Leptospirosis,2014,2,NA
Listeriosis,2014,2,655
Measles,2014,2,186
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,2,115
"Meningococcal disease, invasive, serogroup B",2014,2,72
"Meningococcal disease, invasive, other serogroup",2014,2,12
"Meningococcal disease, invasive, unknown serogroup",2014,2,310
Novel influenza A virus infections***,2014,2,21
Plague,2014,2,4
"Poliomyelitis, paralytic",2014,2,NA
"Polio virus Infection, nonparalytic",2014,2,NA
Psittacosis,2014,2,5
"Q fever, total",2014,2,144
"Q fever, acute",2014,2,112
"Q fever, chronic",2014,2,32
"Rabies, human",2014,2,NA
Rubella,2014,2,9
"Rubella, congenital syndrome",2014,2,NA
SARS-CoV,2014,2,NA
Smallpox,2014,2,NA
Streptococcal toxic-shock syndrome,2014,2,135
"Syphilis, congenital (age <1 yr)",2014,2,185
Tetanus,2014,2,20
Toxic-shock syndrome (staphylococcal),2014,2,61
Trichinellosis,2014,2,19
Tularemia,2014,2,193
Typhoid fever,2014,2,302
Vancomycin-intermediate Staphylococcus aureus,2014,2,177
Vancomycin-resistant Staphylococcus aureus,2014,2,NA
Vibriosis (noncholera Vibrio species infections),2014,2,1124
Viral hemorrhagic fever,2014,2,NA
Yellow fever,2014,2,NA
Anthrax,2014,3,NA
"Arboviral diseases, California serogroup virus disease,",2014,3,81
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,3,6
"Arboviral diseases, Powassan virus disease,",2014,3,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,3,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,3,NA
"Botulism, total",2014,3,136
"Botulism, foodborne",2014,3,5
"Botulism, infant",2014,3,119
"Botulism, other (wound and unspecified)",2014,3,12
Brucellosis,2014,3,93
Chancroid,2014,3,11
Smallpox,2014,14,NA
Cholera,2014,3,2
Cyclosporiasis,2014,3,664
Diphtheria,2014,3,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,3,21
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,3,179
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,3,210
Hansen disease,2014,3,52
Hantavirus pulmonary syndrome,2014,3,13
"Hemolytic uremic syndrome, postdiarrheal",2014,3,226
"Hepatitis B, virus infection perinatal",2014,3,49
"Influenza-associated pediatric mortality,",2014,3,164
Leptospirosis,2014,3,NA
Listeriosis,2014,3,640
Measles,2014,3,186
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,3,115
"Meningococcal disease, invasive, serogroup B",2014,3,72
"Meningococcal disease, invasive, other serogroup",2014,3,14
"Meningococcal disease, invasive, unknown serogroup",2014,3,309
Novel influenza A virus infections***,2014,3,21
Plague,2014,3,4
"Poliomyelitis, paralytic",2014,3,NA
"Polio virus Infection, nonparalytic",2014,3,NA
Psittacosis,2014,3,5
