DISEASE,MMWR_YEAR,MMWR_WEEK,CURRENT_WEEK,YTD_CASES,AVERAGE_5Y
Anthrax,2014,1,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,1,NA,NA,NA
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,1,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,1,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,1,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,1,NA,NA,NA
"Botulism, total",2014,1,1,1,3
"Botulism, foodborne",2014,1,NA,NA,0
"Botulism, infant",2014,1,NA,NA,2
"Botulism, other (wound and unspecified)",2014,1,1,1,1
Brucellosis,2014,1,NA,NA,2
Chancroid,2014,1,NA,NA,0
Cholera,2014,1,NA,NA,1
Cyclosporiasis,2014,1,NA,NA,2
Diphtheria,2014,1,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,1,NA,NA,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,1,NA,NA,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,1,3,3,6
Hansen disease,2014,1,NA,NA,2
Hantavirus pulmonary syndrome,2014,1,NA,NA,0
"Hemolytic uremic syndrome, postdiarrheal",2014,1,NA,NA,5
"Hepatitis B, virus infection perinatal",2014,1,NA,NA,2
"Influenza-associated pediatric mortality,",2014,1,4,1,3
Leptospirosis,2014,1,NA,NA,0
Listeriosis,2014,1,3,3,15
Measles,2014,1,1,1,1
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,1,1,1,6
"Meningococcal disease, invasive, serogroup B",2014,1,NA,NA,2
"Meningococcal disease, invasive, other serogroup",2014,1,NA,NA,1
"Meningococcal disease, invasive, unknown serogroup",2014,1,8,8,10
Novel influenza A virus infections***,2014,1,NA,NA,32
Plague,2014,1,NA,NA,NA
"Poliomyelitis, paralytic",2014,1,NA,NA,0
"Polio virus Infection, nonparalytic",2014,1,NA,NA,NA
Psittacosis,2014,1,NA,NA,0
"Q fever, total",2014,1,NA,NA,3
"Q fever, acute",2014,1,NA,NA,2
"Q fever, chronic",2014,1,NA,NA,1
"Rabies, human",2014,1,NA,NA,0
Rubella,2014,1,1,1,NA
"Rubella, congenital syndrome",2014,1,NA,NA,NA
SARS-CoV,2014,1,NA,NA,NA
Smallpox,2014,1,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,1,2,2,4
"Syphilis, congenital (age <1 yr)",2014,1,NA,NA,6
Tetanus,2014,1,1,1,1
Toxic-shock syndrome (staphylococcal),2014,1,NA,NA,2
Trichinellosis,2014,1,NA,NA,0
Tularemia,2014,1,NA,NA,1
Typhoid fever,2014,1,NA,NA,9
Vancomycin-intermediate Staphylococcus aureus,2014,1,1,1,2
Vancomycin-resistant Staphylococcus aureus,2014,1,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,1,NA,NA,12
