production_date,revision_date,industry_group,production
2018-08-31,2019-02-15,Total index,108.8
2018-09-30,2019-02-15,Total index,109
2018-10-31,2019-02-15,Total index,109.3
2018-11-30,2019-02-15,Total index,110
2018-12-31,2019-02-15,Total index,110.1
2019-01-31,2019-02-15,Total index,109.4
2018-08-31,2019-02-15,Final Products,103.2
2018-09-30,2019-02-15,Final Products,103.7
2018-10-31,2019-02-15,Final Products,104.3
2018-11-30,2019-02-15,Final Products,104.6
2018-12-31,2019-02-15,Final Products,104.3
2019-01-31,2019-02-15,Final Products,103.4
2018-08-31,2019-02-15,Consumer goods,105.9
2018-09-30,2019-02-15,Consumer goods,106.2
2018-10-31,2019-02-15,Consumer goods,107
2018-11-30,2019-02-15,Consumer goods,107.3
2018-12-31,2019-02-15,Consumer goods,106.3
2019-01-31,2019-02-15,Consumer goods,105.6
2018-08-31,2019-02-15,Business equipment,101.2
2018-09-30,2019-02-15,Business equipment,102.2
2018-10-31,2019-02-15,Business equipment,102.5
2018-11-30,2019-02-15,Business equipment,102.8
2018-12-31,2019-02-15,Business equipment,103.8
2019-01-31,2019-02-15,Business equipment,102.2
2018-08-31,2019-02-15,Nonindustrial supplies,107.1
2018-09-30,2019-02-15,Nonindustrial supplies,106.9
2018-10-31,2019-02-15,Nonindustrial supplies,107.5
2018-11-30,2019-02-15,Nonindustrial supplies,107.5
2018-12-31,2019-02-15,Nonindustrial supplies,108
2019-01-31,2019-02-15,Nonindustrial supplies,107.8
2018-08-31,2019-02-15,Construction,114.5
2018-09-30,2019-02-15,Construction,114.3
2018-10-31,2019-02-15,Construction,114.6
2018-11-30,2019-02-15,Construction,115.3
2018-12-31,2019-02-15,Construction,117.6
2019-01-31,2019-02-15,Construction,117.1
2018-08-31,2019-02-15,Materials,114
2018-09-30,2019-02-15,Materials,114
2018-10-31,2019-02-15,Materials,113.9
2018-11-30,2019-02-15,Materials,115.1
2018-12-31,2019-02-15,Materials,115.4
2019-01-31,2019-02-15,Materials,114.9
2018-08-31,2019-02-15,Manufacturing,104.9
2018-09-30,2019-02-15,Manufacturing,105.2
2018-10-31,2019-02-15,Manufacturing,105
2018-11-30,2019-02-15,Manufacturing,105.3
2018-12-31,2019-02-15,Manufacturing,106.1
2019-01-31,2019-02-15,Manufacturing,105.2
2018-08-31,2019-02-15,Mining,126.5
2018-09-30,2019-02-15,Mining,127.6
2018-10-31,2019-02-15,Mining,127.9
2018-11-30,2019-02-15,Mining,129.3
2018-12-31,2019-02-15,Mining,131.2
2019-01-31,2019-02-15,Mining,131.3
2018-08-31,2019-02-15,Utilities,105.4
2018-09-30,2019-02-15,Utilities,104.1
2018-10-31,2019-02-15,Utilities,107.5
2018-11-30,2019-02-15,Utilities,109.9
2018-12-31,2019-02-15,Utilities,102.4
2019-01-31,2019-02-15,Utilities,102.8
