incident_date,INCDTNO,RAILROAD,TYPPERS,CASFATAL,COUNTY,EVENT,narrative,LATITUDE,LONGITUD
2018-01-02,W20180101,LI,A,N,NASSAU,71,WHILE LOADING SALT BINS FELT A PINCH IN BACK_NA_NA,0,0
2018-01-02,W20180102,LI,A,N,NASSAU,38,LOADING AND UNLOADING ICE MELT BAGS ONTO SIDE OF 91B BOOM TRUCK WHEN EMPLOYEE FELT BACK TIGHTEN UP_NA_NA,0,0
2018-01-02,M20180101,LI,A,N,QUEENS,61,"EE WAS IN TELECOM JCC STOCKROOM AND HIT HEAD ON LIGHT FIXTURE ABOVE PALLETS. LACERATION, BLEEDING, S_WELLING. HEADACHES._NA",0,0
2018-01-02,TE20180101,LI,A,N,NASSAU,52,EMPLOYEE SLIPPED ON ICE ON THE PLAFROM CAUSING HIMTO FALL AND INJURED HIS LEFT KNEE.EMPLOYEE SUSTAIN_ED SCRAPES TO HIS KNEE. STATIONS WAS NOTIFED TO SECURE THE SCENE AND ADDRESS THE ICE._NA,0,0
2018-01-03,TE20180102,LI,A,N,SUFFOLK,38,"EMPLOYEE STOOD UP TO OPEN THE CAB WINDOW WHILE OPERATING, AND INJURED HIS RIGHT SHOULDER DOING SO._NA_NA",0,0
2018-01-03,P20180104,LI,C,N,QUEENS,99,PASSENGER WAS ON BOARD TRAIN 1714 IN JAMAICA WHENHE STARTED TO HAVE A SEIZURE. TRANSPORTED TO JHMC._NA_NA,0,0
2018-01-04,TE20180103,LI,A,N,QUEENS,51,EMPLOYEE WAS WALKING THROUGH JSY AND STEPPED IN AVOID WHICH HE DID NOT SEE DUE TO SNOW AND INJUREDHI_S LEFT KNEE._NA,0,0
2018-01-04,NT20180101,LI,D,N,QUEENS,34,"AIDED FOUND UNCONSCIOUS AT BOTTOM OF EASTEND,PLATFORM D STAIRCASE. TRANSPORTED TO JAMAICA HOSPITAL_NA_NA",0,0
2018-01-04,PS20180101,LI,A,N,SUFFOLK,70,"EE FELL DOWN ONE STEP AND FELL INTO WINDOW SILL, LACERATED RIGHT HAND RING FINGER_NA_NA",0,0
2018-01-05,W20180104,LI,A,N,NASSAU,52,"EMPLOYEE WAS WORKING CLEARING SWITCH IN VALLEY STREAM YARD, SLIPPED ON ICE, REACHED OUT AND GRABBEDT_HE SWITCH INJURING SHOULDER._NA",0,0
